ID,Name,URL
1,model-door-failers-demo,http://71526167-613e-44c4-960c-a31e90b114b2.eastus.azurecontainer.io/score
2,model-door-failers-demo-1,http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score
